Bundled Python wheels for Windows x64 CPython 3.13
These are unmodified package files from PyPI. Each package keeps its own license.
The wheel archive contains license files where the publisher supplied them.

beautifulsoup4==4.15.0 | MIT License
certifi==2026.7.22 | MPL-2.0
cffi==2.1.1 | MIT-0
charset-normalizer==3.5.1 | MIT
click==8.5.0 | BSD-3-Clause
cobble==0.1.4 | License :: OSI Approved :: BSD License
coloredlogs==15.0.1 | MIT
cryptography==50.0.1 | Apache-2.0 OR BSD-3-Clause
defusedxml==0.7.1 | PSFL
et_xmlfile==2.0.0 | MIT
flatbuffers==25.12.19 | Apache 2.0
humanfriendly==10.0 | MIT
idna==3.20 | BSD-3-Clause
lxml==6.1.3 | BSD-3-Clause
magika==0.6.3 | Apache-2.0
mammoth==1.11.0 | BSD-2-Clause
markdownify==1.2.3 | License :: OSI Approved :: MIT License
markitdown==0.1.8 | MIT
mpmath==1.3.0 | BSD
numpy==2.5.3 | BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0
onnxruntime==1.20.1 | MIT License
openpyxl==3.1.5 | MIT
packaging==26.3 | Apache-2.0 OR BSD-2-Clause
pandas==3.0.6 | BSD 3-Clause License
pdfminer.six==20260107 | MIT
pdfplumber==0.11.10 | License :: OSI Approved :: MIT License
pillow==12.3.0 | MIT-CMU
protobuf==7.36.2 | 3-Clause BSD License
pycparser==3.0 | BSD-3-Clause
pypdf==6.19.0 | BSD-3-Clause
pypdfium2==5.13.0 | BSD-3-Clause, Apache-2.0, dependency licenses
pyreadline3==3.5.6 | BSD
python-dateutil==2.9.0.post0 | Dual License
python-docx==1.2.0 | MIT
python-dotenv==1.2.3 | BSD-3-Clause
python-pptx==1.0.2 | MIT
requests==2.34.2 | Apache-2.0
six==1.17.0 | MIT
soupsieve==2.10 | MIT
sympy==1.14.0 | BSD
typing_extensions==4.16.0 | PSF-2.0
tzdata==2026.4 | Apache-2.0
urllib3==2.8.0 | MIT
xlrd==2.0.2 | BSD
xlsxwriter==3.2.9 | BSD-2-Clause
